hierarchyId	pCFID	name	fileName	verb	object	process
1.1.1.1	19945	Identify competitors	19945-IdentifyCompetitors.mdx	Identify	Competitors	Assess the external environment
1.1.1.2	10021	Analyze and evaluate competition	10021-AnalyzeAndEvaluateCompetition.mdx	Analyze	And Evaluate Competition	Assess the external environment
1.1.1.3	10022	Identify economic trends	10022-IdentifyEconomicTrends.mdx	Identify	Economic Trends	Assess the external environment
1.1.1.4	10023	Identify political and regulatory issues	10023-IdentifyPoliticalAndRegulatoryIssues.mdx	Identify	Political And Regulatory Issues	Assess the external environment
1.1.1.5	10024	Assess new technology innovations	10024-AssessNewTechnologyInnovations.mdx	Assess	New Technology Innovations	Assess the external environment
1.1.1.6	10025	Analyze demographics	10025-AnalyzeDemographics.mdx	Analyze	Demographics	Assess the external environment
1.1.1.7	10026	Identify social and cultural changes	10026-IdentifySocialAndCulturalChanges.mdx	Identify	Social And Cultural Changes	Assess the external environment
1.1.1.8	10027	Identify ecological concerns	10027-IdentifyEcologicalConcerns.mdx	Identify	Ecological Concerns	Assess the external environment
1.1.1.9	11301	Conduct mergers and acquisitions (M&A) analysis	11301-ConductMergersAndAcquisitionsMAAnalysis.mdx	Conduct	Mergers And Acquisitions (M&A) Analysis	Assess the external environment
1.1.1.10	11302	Monitor external opportunities and threats	11302-MonitorExternalOpportunitiesAndThreats.mdx	Monitor	External Opportunities And Threats	Assess the external environment
1.1.1.11	16790	Identify intellectual property concerns	16790-IdentifyIntellectualPropertyConcerns.mdx	Identify	Intellectual Property Concerns	Assess the external environment
1.1.1.12	16791	Evaluate IP acquisition options	16791-EvaluateIpAcquisitionOptions.mdx	Evaluate	IP Acquisition Options	Assess the external environment
1.1.2.1	10028	Conduct qualitative/quantitative research and assessments	10028-ConductQualitativeQuantitativeResearchAndAssessments.mdx	Conduct	Qualitative/quantitative Research And Assessments	Survey market and determine customer needs and wants
1.1.2.2	19946	Capture customer needs and wants	19946-CaptureCustomerNeedsAndWants.mdx	Capture	Customer Needs And Wants	Survey market and determine customer needs and wants
1.1.2.3	19947	Assess customer needs and wants	19947-AssessCustomerNeedsAndWants.mdx	Assess	Customer Needs And Wants	Survey market and determine customer needs and wants
1.1.3.1	10030	Analyze organizational characteristics	10030-AnalyzeOrganizationalCharacteristics.mdx	Analyze	Organizational Characteristics	Assess the internal environment
1.1.3.2	19948	Analyze internal operations	19948-AnalyzeInternalOperations.mdx	Analyze	Internal Operations	Assess the internal environment
1.1.3.3	10031	Create baselines for current processes	10031-CreateBaselinesForCurrentProcesses.mdx	Create	Baselines For Current Processes	Assess the internal environment
1.1.3.4	10032	Analyze systems and technology	10032-AnalyzeSystemsAndTechnology.mdx	Analyze	Systems And Technology	Assess the internal environment
1.1.3.5	10033	Analyze financial health	10033-AnalyzeFinancialHealth.mdx	Analyze	Financial Health	Assess the internal environment
1.1.3.6	10034	Identify core competencies	10034-IdentifyCoreCompetencies.mdx	Identify	Core Competencies	Assess the internal environment
1.1.4.1	19949	Define the strategic vision	19949-DefineTheStrategicVision.mdx	Define	Strategic Vision	Establish strategic vision
1.1.4.2	10035	Align stakeholders around strategic vision	10035-AlignStakeholdersAroundStrategicVision.mdx	Align	Stakeholders Around Strategic Vision	Establish strategic vision
