hierarchyId	pCFID	name	fileName	verb	object	activity
1.1.5.3.1	16796	Evaluate acquisition options	16796-EvaluateAcquisitionOptions.mdx	Evaluate	Acquisition Options	Analyze deal options
1.1.5.3.2	16797	Evaluate merger options	16797-EvaluateMergerOptions.mdx	Evaluate	Merger Options	Analyze deal options
1.1.5.3.3	16798	Evaluate de-merger options	16798-EvaluateDeMergerOptions.mdx	Evaluate	De-merger Options	Analyze deal options
1.1.5.3.4	16799	Evaluate divesture options	16799-EvaluateDivestureOptions.mdx	Evaluate	Divesture Options	Analyze deal options
1.2.2.1.1	18083	Select partnerships and relationships to support the extended enterprise	18083-SelectPartnershipsAndRelationshipsToSupportTheExtendedEnterprise.mdx	Select	Partnerships And Relationships To Support Extended Enterprise	Define strategic options
1.2.2.2.1	13289	Identify implications for key operating model business elements that require change	13289-IdentifyImplicationsForKeyOperatingModelBusinessElementsThatRequireChange.mdx	Identify	Implications For Key Operating Model Business Elements That Require Change	Assess and analyze impact of each option
1.2.2.2.2	13290	Identify implications for key technology aspects	13290-IdentifyImplicationsForKeyTechnologyAspects.mdx	Identify	Implications For Key Technology Aspects	Assess and analyze impact of each option
1.2.2.3.1	16801	Develop service as a product strategy	16801-DevelopServiceAsAProductStrategy.mdx	Develop	Service As Product Strategy	Develop B2B strategy
1.2.7.1.1	19961	Identify and review customer touchpoints	19961-IdentifyAndReviewCustomerTouchpoints.mdx	Identify	And Review Customer Touchpoints	Assess customer experience
1.2.7.1.2	19962	Assess customer experience across touchpoints	19962-AssessCustomerExperienceAcrossTouchpoints.mdx	Assess	Customer Experience Across Touchpoints	Assess customer experience
1.2.7.1.3	19963	Perform root cause analysis of problematic customer experiences	19963-PerformRootCauseAnalysisOfProblematicCustomerExperiences.mdx	Perform	Root Cause Analysis Of Problematic Customer Experiences	Assess customer experience
1.2.7.2.1	16612	Define and manage personas	16612-DefineAndManagePersonas.mdx	Define	And Manage Personas	Design customer experience
1.2.7.2.2	19965	Create customer journey maps	19965-CreateCustomerJourneyMaps.mdx	Create	Customer Journey Maps	Design customer experience
1.2.7.2.3	19966	Define single view of the customer for the organization	19966-DefineSingleViewOfTheCustomerForTheOrganization.mdx	Define	Single View Of Customer For Organization	Design customer experience
1.2.7.2.4	19967	Define a vision for the customer experience	19967-DefineAVisionForTheCustomerExperience.mdx	Define	Vision For Customer Experience	Design customer experience
1.2.7.2.5	19968	Validate with customers	19968-ValidateWithCustomers.mdx	Validate	With Customers	Design customer experience
1.2.7.2.6	19969	Align experience with brand values and business strategies	19969-AlignExperienceWithBrandValuesAndBusinessStrategies.mdx	Align	Experience With Brand Values And Business Strategies	Design customer experience
1.2.7.2.7	19970	Develop content strategy	19970-DevelopContentStrategy.mdx	Develop	Content Strategy	Design customer experience
