hierarchyId	pCFID	name	verb	object	filePath
1.0	10002	Develop Vision and Strategy	Develop	Vision And Strategy	01-DevelopVisionAndStrategy/index.mdx
1.1	17040	Define the business concept and long-term vision	Define	Business Concept And Long-term Vision	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/index.mdx
1.1.1	10017	Assess the external environment	Assess	External Environment	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/index.mdx
1.1.1.1	19945	Identify competitors	Identify	Competitors	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/19945-IdentifyCompetitors.mdx
1.1.1.2	10021	Analyze and evaluate competition	Analyze	And Evaluate Competition	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10021-AnalyzeAndEvaluateCompetition.mdx
1.1.1.3	10022	Identify economic trends	Identify	Economic Trends	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10022-IdentifyEconomicTrends.mdx
1.1.1.4	10023	Identify political and regulatory issues	Identify	Political And Regulatory Issues	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10023-IdentifyPoliticalAndRegulatoryIssues.mdx
1.1.1.5	10024	Assess new technology innovations	Assess	New Technology Innovations	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10024-AssessNewTechnologyInnovations.mdx
1.1.1.6	10025	Analyze demographics	Analyze	Demographics	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10025-AnalyzeDemographics.mdx
1.1.1.7	10026	Identify social and cultural changes	Identify	Social And Cultural Changes	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10026-IdentifySocialAndCulturalChanges.mdx
1.1.1.8	10027	Identify ecological concerns	Identify	Ecological Concerns	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/10027-IdentifyEcologicalConcerns.mdx
1.1.1.9	11301	Conduct mergers and acquisitions (M&A) analysis	Conduct	Mergers And Acquisitions (M&A) Analysis	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/11301-ConductMergersAndAcquisitionsMAAnalysis.mdx
1.1.1.10	11302	Monitor external opportunities and threats	Monitor	External Opportunities And Threats	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/11302-MonitorExternalOpportunitiesAndThreats.mdx
1.1.1.11	16790	Identify intellectual property concerns	Identify	Intellectual Property Concerns	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/16790-IdentifyIntellectualPropertyConcerns.mdx
1.1.1.12	16791	Evaluate IP acquisition options	Evaluate	IP Acquisition Options	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.1-AssessTheExternalEnvironment/16791-EvaluateIpAcquisitionOptions.mdx
1.1.2	10018	Survey market and determine customer needs and wants	Survey	Market And Determine Customer Needs And Wants	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.2-SurveyMarketAndDetermineCustomerNeedsAndWants/index.mdx
1.1.2.1	10028	Conduct qualitative/quantitative research and assessments	Conduct	Qualitative/quantitative Research And Assessments	01-DevelopVisionAndStrategy/1.1-DefineTheBusinessConceptAndLongTermVision/1.1.2-SurveyMarketAndDetermineCustomerNeedsAndWants/10028-ConductQualitativeQuantitativeResearchAndAssessments.mdx
