hierarchyId	pCFID	name	verb	object	filePath
4.0	20022	Deliver Products	Deliver	Products	04-DeliverProducts/index.mdx
4.1	10215	Plan for and align supply chain resources	Plan	For And Align Supply Chain Resources	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/index.mdx
4.1.1	10221	Develop production and materials strategies	Develop	Production And Materials Strategies	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/index.mdx
4.1.1.1	10229	Define manufacturing goals	Define	Manufacturing Goals	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10229-DefineManufacturingGoals.mdx
4.1.1.2	10230	Define labor and materials policies	Define	Labor And Materials Policies	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10230-DefineLaborAndMaterialsPolicies.mdx
4.1.1.3	10231	Define outsourcing policies	Define	Outsourcing Policies	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10231-DefineOutsourcingPolicies.mdx
4.1.1.4	10232	Define capital expense policies	Define	Capital Expense Policies	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10232-DefineCapitalExpensePolicies.mdx
4.1.1.5	10233	Define capacities	Define	Capacities	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10233-DefineCapacities.mdx
4.1.1.6	10234	Define production network and supply constraints	Define	Production Network And Supply Constraints	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/10234-DefineProductionNetworkAndSupplyConstraints.mdx
4.1.1.7	14193	Define production process	Define	Production Process	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/14193-DefineProductionProcess.mdx
4.1.1.8	19551	Define standard operating procedures	Define	Standard Operating Procedures	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/19551-DefineStandardOperatingProcedures.mdx
4.1.1.9	14194	Define production workplace layout and infrastructure	Define	Production Workplace Layout And Infrastructure	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.1-DevelopProductionAndMaterialsStrategies/14194-DefineProductionWorkplaceLayoutAndInfrastructure.mdx
4.1.2	11525	Plan sales and operations	Plan	Sales And Operations	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.2-PlanSalesAndOperations/index.mdx
4.1.2.1	11526	Prepare for sales and operations planning (S&OP) meeting	Prepare	For Sales And Operations Planning (S&OP) Meeting	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.2-PlanSalesAndOperations/11526-PrepareForSalesAndOperationsPlanningSOpMeeting.mdx
4.1.2.2	11527	Balance demand and supply plans	Balance	Demand And Supply Plans	04-DeliverProducts/4.1-PlanForAndAlignSupplyChainResources/4.1.2-PlanSalesAndOperations/11527-BalanceDemandAndSupplyPlans.mdx
