hierarchyId	pCFID	name	verb	object	filePath
6.0	20085	Manage Customer Service	Manage	Customer Service	06-ManageCustomerService/index.mdx
6.1	10378	Develop customer care/customer service strategy	Develop	Customer Care/customer Service Strategy	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/index.mdx
6.1.1	20086	Define customer service requirements across the enterprise	Define	Customer Service Requirements Across Enterprise	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.1-DefineCustomerServiceRequirementsAcrossTheEnterprise/20086-DefineCustomerServiceRequirementsAcrossTheEnterprise.mdx
6.1.2	20087	Define customer service experience	Define	Customer Service Experience	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.2-DefineCustomerServiceExperience/20087-DefineCustomerServiceExperience.mdx
6.1.3	20088	Define and manage customer service channel strategy	Define	And Manage Customer Service Channel Strategy	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.3-DefineAndManageCustomerServiceChannelStrategy/20088-DefineAndManageCustomerServiceChannelStrategy.mdx
6.1.4	10382	Define customer service policies and procedures	Define	Customer Service Policies And Procedures	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.4-DefineCustomerServicePoliciesAndProcedures/10382-DefineCustomerServicePoliciesAndProcedures.mdx
6.1.5	10383	Establish target service level for each customer segment	Establish	Target Service Level For Each Customer Segment	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.5-EstablishTargetServiceLevelForEachCustomerSegment/index.mdx
6.1.5.1	10384	Analyze existing customers	Analyze	Existing Customers	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.5-EstablishTargetServiceLevelForEachCustomerSegment/10384-AnalyzeExistingCustomers.mdx
6.1.5.2	10385	Analyze feedback of customer's needs	Analyze	Feedback Of Customer's Needs	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.5-EstablishTargetServiceLevelForEachCustomerSegment/10385-AnalyzeFeedbackOfCustomerSNeeds.mdx
6.1.6	19651	Define and manage warranty offering	Define	And Manage Warranty Offering	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.6-DefineAndManageWarrantyOffering/index.mdx
6.1.6.1	16893	Determine and document warranty policies	Determine	And Document Warranty Policies	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.6-DefineAndManageWarrantyOffering/16893-DetermineAndDocumentWarrantyPolicies.mdx
6.1.6.2	16890	Create and manage warranty rules/claim codes for products	Create	And Manage Warranty Rules/claim Codes For Products	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.6-DefineAndManageWarrantyOffering/16890-CreateAndManageWarrantyRulesClaimCodesForProducts.mdx
6.1.6.3	19652	Agree on warranty responsibilities with suppliers	Agree	On Warranty Responsibilities With Suppliers	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.6-DefineAndManageWarrantyOffering/19652-AgreeOnWarrantyResponsibilitiesWithSuppliers.mdx
6.1.6.4	19653	Define warranty related offerings for customers e.g. service contract	Define	Warranty Related Offerings For Customers E.g. Service Contract	06-ManageCustomerService/6.1-DevelopCustomerCareCustomerServiceStrategy/6.1.6-DefineAndManageWarrantyOffering/19653-DefineWarrantyRelatedOfferingsForCustomersEGServiceContract.mdx
