hierarchyId	pCFID	name	verb	object	filePath
9.0	17058	Manage Financial Resources	Manage	Financial Resources	09-ManageFinancialResources/index.mdx
9.1	10728	Perform planning and management accounting	Perform	Planning And Management Accounting	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/index.mdx
9.1.1	10738	Perform planning/budgeting/forecasting	Perform	Planning/budgeting/forecasting	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/index.mdx
9.1.1.1	10771	Develop and maintain budget policies and procedures	Develop	And Maintain Budget Policies And Procedures	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/10771-DevelopAndMaintainBudgetPoliciesAndProcedures.mdx
9.1.1.2	10772	Prepare periodic budgets and plans	Prepare	Periodic Budgets And Plans	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/10772-PreparePeriodicBudgetsAndPlans.mdx
9.1.1.3	20135	Operationalize and implement plans to achieve budget	Operationalize	And Implement Plans To Achieve Budget	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/20135-OperationalizeAndImplementPlansToAchieveBudget.mdx
9.1.1.4	10773	Prepare periodic financial forecasts	Prepare	Periodic Financial Forecasts	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/10773-PreparePeriodicFinancialForecasts.mdx
9.1.1.5	20136	Perform variance analysis against forecasts and budgets	Perform	Variance Analysis Against Forecasts And Budgets	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.1-PerformPlanningBudgetingForecasting/20136-PerformVarianceAnalysisAgainstForecastsAndBudgets.mdx
9.1.2	10739	Perform cost accounting and control	Perform	Cost Accounting And Control	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/index.mdx
9.1.2.1	10774	Perform inventory accounting	Perform	Inventory Accounting	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/10774-PerformInventoryAccounting.mdx
9.1.2.2	14057	Perform profit center accounting	Perform	Profit Center Accounting	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/14057-PerformProfitCenterAccounting.mdx
9.1.2.3	10775	Perform cost of sales analysis	Perform	Cost Of Sales Analysis	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/10775-PerformCostOfSalesAnalysis.mdx
9.1.2.4	10776	Perform product costing	Perform	Product Costing	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/10776-PerformProductCosting.mdx
9.1.2.5	10777	Perform variance analysis	Perform	Variance Analysis	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/10777-PerformVarianceAnalysis.mdx
9.1.2.6	11175	Report on profitability	Report	On Profitability	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.2-PerformCostAccountingAndControl/11175-ReportOnProfitability.mdx
9.1.3	10740	Perform cost management	Perform	Cost Management	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.3-PerformCostManagement/index.mdx
9.1.3.1	10778	Determine key cost drivers	Determine	Key Cost Drivers	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.3-PerformCostManagement/10778-DetermineKeyCostDrivers.mdx
9.1.3.2	10779	Measure cost drivers	Measure	Cost Drivers	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.3-PerformCostManagement/10779-MeasureCostDrivers.mdx
9.1.3.3	10780	Determine critical activities	Determine	Critical Activities	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.3-PerformCostManagement/10780-DetermineCriticalActivities.mdx
9.1.3.4	10781	Manage asset resource deployment and utilization	Manage	Asset Resource Deployment And Utilization	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.3-PerformCostManagement/10781-ManageAssetResourceDeploymentAndUtilization.mdx
9.1.4	10741	Evaluate and manage financial performance	Evaluate	And Manage Financial Performance	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/index.mdx
9.1.4.1	10782	Assess customer and product profitability	Assess	Customer And Product Profitability	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10782-AssessCustomerAndProductProfitability.mdx
9.1.4.2	10783	Evaluate new products	Evaluate	New Products	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10783-EvaluateNewProducts.mdx
9.1.4.3	10784	Perform life cycle costing	Perform	Life Cycle Costing	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10784-PerformLifeCycleCosting.mdx
9.1.4.4	10785	Optimize customer and product mix	Optimize	Customer And Product Mix	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10785-OptimizeCustomerAndProductMix.mdx
9.1.4.5	10786	Track performance of new-customer and product strategies	Track	Performance Of New-customer And Product Strategies	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10786-TrackPerformanceOfNewCustomerAndProductStrategies.mdx
9.1.4.6	10787	Prepare activity-based performance measures	Prepare	Activity-based Performance Measures	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10787-PrepareActivityBasedPerformanceMeasures.mdx
9.1.4.7	10788	Manage continuous cost improvement	Manage	Continuous Cost Improvement	09-ManageFinancialResources/9.1-PerformPlanningAndManagementAccounting/9.1.4-EvaluateAndManageFinancialPerformance/10788-ManageContinuousCostImprovement.mdx
9.2	10729	Perform revenue accounting	Perform	Revenue Accounting	09-ManageFinancialResources/9.2-PerformRevenueAccounting/index.mdx
