hierarchyId	pCFID	name	verb	object	filePath
10.0	19207	Acquire, Construct, and Manage Assets	Acquire,	Construct, And Manage Assets	10-AcquireConstructAndManageAssets/index.mdx
10.1	10937	Plan and acquire assets	Plan	And Acquire Assets	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/index.mdx
10.1.1	10941	Develop property strategy and long term vision	Develop	Property Strategy And Long Term Vision	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.1-DevelopPropertyStrategyAndLongTermVision/index.mdx
10.1.1.1	10955	Confirm alignment of property requirements with business strategy	Confirm	Alignment Of Property Requirements With Business Strategy	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.1-DevelopPropertyStrategyAndLongTermVision/10955-ConfirmAlignmentOfPropertyRequirementsWithBusinessStrategy.mdx
10.1.1.2	10956	Appraise the external environment	Appraise	External Environment	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.1-DevelopPropertyStrategyAndLongTermVision/10956-AppraiseTheExternalEnvironment.mdx
10.1.1.3	10957	Determine build or buy decision	Determine	Build Or Buy Decision	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.1-DevelopPropertyStrategyAndLongTermVision/10957-DetermineBuildOrBuyDecision.mdx
10.1.2	10943	Plan facility	Plan	Facility	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/index.mdx
10.1.2.1	10958	Design facility	Design	Facility	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/10958-DesignFacility.mdx
10.1.2.2	10959	Analyze budget	Analyze	Budget	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/10959-AnalyzeBudget.mdx
10.1.2.3	10960	Select property	Select	Property	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/10960-SelectProperty.mdx
10.1.2.4	10961	Negotiate terms for facility	Negotiate	Terms For Facility	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/10961-NegotiateTermsForFacility.mdx
10.1.2.5	10962	Manage construction or modification to building	Manage	Construction Or Modification To Building	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.2-PlanFacility/10962-ManageConstructionOrModificationToBuilding.mdx
10.1.3	10944	Provide workspace and facilities	Provide	Workspace And Facilities	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.3-ProvideWorkspaceAndFacilities/index.mdx
10.1.3.1	10963	Acquire workspace and facilities	Acquire	Workspace And Facilities	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.3-ProvideWorkspaceAndFacilities/10963-AcquireWorkspaceAndFacilities.mdx
10.1.3.2	10964	Change fit/form/function of workspace and facilities	Change	Fit/form/function Of Workspace And Facilities	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.3-ProvideWorkspaceAndFacilities/10964-ChangeFitFormFunctionOfWorkspaceAndFacilities.mdx
10.1.4	10949	Manage facilities operations	Manage	Facilities Operations	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.4-ManageFacilitiesOperations/index.mdx
10.1.4.1	10965	Relocate people	Relocate	People	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.4-ManageFacilitiesOperations/10965-RelocatePeople.mdx
10.1.4.2	10966	Relocate material and tools	Relocate	Material And Tools	10-AcquireConstructAndManageAssets/10.1-PlanAndAcquireAssets/10.1.4-ManageFacilitiesOperations/10966-RelocateMaterialAndTools.mdx
10.2	19208	Design and construct productive assets	Design	And Construct Productive Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/index.mdx
10.2.1	19209	Manage capital program for productive assets	Manage	Capital Program For Productive Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.1-ManageCapitalProgramForProductiveAssets/index.mdx
10.2.1.1	19210	Define capital investment plan	Define	Capital Investment Plan	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.1-ManageCapitalProgramForProductiveAssets/19210-DefineCapitalInvestmentPlan.mdx
10.2.1.2	19211	Monitor capital program	Monitor	Capital Program	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.1-ManageCapitalProgramForProductiveAssets/19211-MonitorCapitalProgram.mdx
10.2.1.3	19212	Secure construction financing	Secure	Construction Financing	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.1-ManageCapitalProgramForProductiveAssets/19212-SecureConstructionFinancing.mdx
10.2.2	20139	Design and plan asset construction	Design	And Plan Asset Construction	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/index.mdx
10.2.2.1	19220	Develop construction strategy	Develop	Construction Strategy	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/19220-DevelopConstructionStrategy.mdx
10.2.2.2	11276	Perform construction performance management	Perform	Construction Performance Management	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/11276-PerformConstructionPerformanceManagement.mdx
10.2.2.3	19221	Obtain construction permissions	Obtain	Construction Permissions	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/19221-ObtainConstructionPermissions.mdx
10.2.2.4	19222	Design assets	Design	Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/19222-DesignAssets.mdx
10.2.2.5	19223	Plan construction resources	Plan	Construction Resources	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.2-DesignAndPlanAssetConstruction/19223-PlanConstructionResources.mdx
10.2.3	19229	Schedule and perform construction work	Schedule	And Perform Construction Work	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/index.mdx
10.2.3.1	19230	Schedule construction work	Schedule	Construction Work	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/19230-ScheduleConstructionWork.mdx
10.2.3.2	19231	Obtain resources	Obtain	Resources	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/19231-ObtainResources.mdx
10.2.3.3	19232	Construct new assets	Construct	New Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/19232-ConstructNewAssets.mdx
10.2.3.4	19233	Augment existing assets	Augment	Existing Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/19233-AugmentExistingAssets.mdx
10.2.3.5	19234	Renew/Replace assets	Renew/Replace	Assets	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.3-ScheduleAndPerformConstructionWork/19234-RenewReplaceAssets.mdx
10.2.4	19224	Manage asset construction	Manage	Asset Construction	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.4-ManageAssetConstruction/index.mdx
10.2.4.1	19225	Monitor work performance	Monitor	Work Performance	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.4-ManageAssetConstruction/19225-MonitorWorkPerformance.mdx
10.2.4.2	19226	Undertake construction quality control	Undertake	Construction Quality Control	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.4-ManageAssetConstruction/19226-UndertakeConstructionQualityControl.mdx
10.2.4.3	19227	Create work and asset records	Create	Work And Asset Records	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.4-ManageAssetConstruction/19227-CreateWorkAndAssetRecords.mdx
10.2.4.4	19228	Manage safety, security, and access to sites	Manage	Safety, Security, And Access To Sites	10-AcquireConstructAndManageAssets/10.2-DesignAndConstructProductiveAssets/10.2.4-ManageAssetConstruction/19228-ManageSafetySecurityAndAccessToSites.mdx
10.3	19238	Maintain productive assets	Maintain	Productive Assets	10-AcquireConstructAndManageAssets/10.3-MaintainProductiveAssets/index.mdx
10.3.1	19239	Plan asset maintenance	Plan	Asset Maintenance	10-AcquireConstructAndManageAssets/10.3-MaintainProductiveAssets/10.3.1-PlanAssetMaintenance/index.mdx
