hierarchyId	pCFID	name	verb	object	filePath
13.1.2.1	16385	Establish and maintain process framework	Establish	And Maintain Process Framework	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.2-DefineAndManageProcessFrameworks/16385-EstablishAndMaintainProcessFramework.mdx
13.1.2.2	16386	Identify cross-functional processes	Identify	Cross-functional Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.2-DefineAndManageProcessFrameworks/16386-IdentifyCrossFunctionalProcesses.mdx
13.1.3	16387	Define processes	Define	Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/index.mdx
13.1.3.1	16388	Scope processes	Scope	Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/16388-ScopeProcesses.mdx
13.1.3.2	16389	Analyze processes	Analyze	Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/13.1.3.2-AnalyzeProcesses/index.mdx
13.1.3.2.1	20140	Identify published best practices	Identify	Published Best Practices	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/13.1.3.2-AnalyzeProcesses/20140-IdentifyPublishedBestPractices.mdx
13.1.3.3	16390	Model and document processes	Model	And Document Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/16390-ModelAndDocumentProcesses.mdx
13.1.3.4	16391	Publish processes	Publish	Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.3-DefineProcesses/16391-PublishProcesses.mdx
13.1.4	16392	Manage process performance	Manage	Process Performance	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.4-ManageProcessPerformance/index.mdx
13.1.4.1	16393	Provide process training	Provide	Process Training	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.4-ManageProcessPerformance/16393-ProvideProcessTraining.mdx
13.1.4.2	16394	Support process execution	Support	Process Execution	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.4-ManageProcessPerformance/16394-SupportProcessExecution.mdx
13.1.4.3	16395	Measure and report process performance	Measure	And Report Process Performance	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.4-ManageProcessPerformance/13.1.4.3-MeasureAndReportProcessPerformance/index.mdx
13.1.4.3.1	20141	Identify additional metrics as required	Identify	Additional Metrics As Required	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.4-ManageProcessPerformance/13.1.4.3-MeasureAndReportProcessPerformance/20141-IdentifyAdditionalMetricsAsRequired.mdx
13.1.5	16396	Improve processes	Improve	Processes	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.5-ImproveProcesses/index.mdx
13.1.5.1	16397	Identify and select improvement opportunities	Identify	And Select Improvement Opportunities	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.5-ImproveProcesses/16397-IdentifyAndSelectImprovementOpportunities.mdx
13.1.5.2	16398	Manage improvement projects	Manage	Improvement Projects	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.5-ImproveProcesses/16398-ManageImprovementProjects.mdx
13.1.5.3	16399	Perform continuous improvement activities	Perform	Continuous Improvement Activities	13-DevelopAndManageBusinessCapabilities/13.1-ManageBusinessProcesses/13.1.5-ImproveProcesses/16399-PerformContinuousImprovementActivities.mdx
13.2	16400	Manage portfolio, program, and project	Manage	Portfolio, Program, And Project	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/index.mdx
13.2.1	16401	Manage portfolio	Manage	Portfolio	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.1-ManagePortfolio/index.mdx
13.2.1.1	16402	Establish portfolio strategy	Establish	Portfolio Strategy	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.1-ManagePortfolio/16402-EstablishPortfolioStrategy.mdx
13.2.1.2	16403	Define portfolio governance	Define	Portfolio Governance	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.1-ManagePortfolio/16403-DefinePortfolioGovernance.mdx
13.2.1.3	16404	Monitor and control portfolio	Monitor	And Control Portfolio	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.1-ManagePortfolio/16404-MonitorAndControlPortfolio.mdx
13.2.2	16405	Manage programs	Manage	Programs	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.2-ManagePrograms/index.mdx
13.2.2.1	16406	Establish program structure and approach	Establish	Program Structure And Approach	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.2-ManagePrograms/16406-EstablishProgramStructureAndApproach.mdx
13.2.2.2	16407	Manage program stakeholders and partners	Manage	Program Stakeholders And Partners	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.2-ManagePrograms/16407-ManageProgramStakeholdersAndPartners.mdx
13.2.2.3	16408	Manage program execution	Manage	Program Execution	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.2-ManagePrograms/16408-ManageProgramExecution.mdx
13.2.2.4	16409	Review and report program performance	Review	And Report Program Performance	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.2-ManagePrograms/16409-ReviewAndReportProgramPerformance.mdx
13.2.3	16410	Manage projects	Manage	Projects	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/index.mdx
13.2.3.1	16411	Establish project scope	Establish	Project Scope	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/index.mdx
13.2.3.1.1	11117	Identify project requirements and objectives	Identify	Project Requirements And Objectives	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/11117-IdentifyProjectRequirementsAndObjectives.mdx
13.2.3.1.2	16412	Identify project resource requirements	Identify	Project Resource Requirements	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/16412-IdentifyProjectResourceRequirements.mdx
13.2.3.1.3	11118	Assess culture and readiness for project management approach	Assess	Culture And Readiness For Project Management Approach	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/11118-AssessCultureAndReadinessForProjectManagementApproach.mdx
13.2.3.1.4	11120	Create business case and obtain funding	Create	Business Case And Obtain Funding	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/11120-CreateBusinessCaseAndObtainFunding.mdx
13.2.3.1.5	11121	Develop project measures and indicators	Develop	Project Measures And Indicators	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.1-EstablishProjectScope/11121-DevelopProjectMeasuresAndIndicators.mdx
13.2.3.2	11119	Identify appropriate project management methodologies	Identify	Appropriate Project Management Methodologies	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/11119-IdentifyAppropriateProjectManagementMethodologies.mdx
13.2.3.3	16413	Develop project plans	Develop	Project Plans	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/index.mdx
13.2.3.3.1	11123	Define roles and resources	Define	Roles And Resources	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11123-DefineRolesAndResources.mdx
13.2.3.3.2	20142	Acquire/secure project resources	Acquire/secure	Project Resources	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/20142-AcquireSecureProjectResources.mdx
13.2.3.3.3	11124	Identify specific IT requirements	Identify	Specific IT Requirements	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11124-IdentifySpecificItRequirements.mdx
13.2.3.3.4	11125	Create training and communication plans	Create	Training And Communication Plans	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11125-CreateTrainingAndCommunicationPlans.mdx
13.2.3.3.5	11127	Design recognition and reward approaches	Design	Recognition And Reward Approaches	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11127-DesignRecognitionAndRewardApproaches.mdx
13.2.3.3.6	11128	Design and plan launch of project	Design	And Plan Launch Of Project	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11128-DesignAndPlanLaunchOfProject.mdx
13.2.3.3.7	11129	Deploy the project	Deploy	Project	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.3-DevelopProjectPlans/11129-DeployTheProject.mdx
13.2.3.4	16414	Execute projects	Execute	Projects	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/index.mdx
13.2.3.4.1	11131	Evaluate impact of project management (strategy and projects) on measures and outcomes	Evaluate	Impact Of Project Management (strategy And Projects) On Measures And Outcomes	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/11131-EvaluateImpactOfProjectManagementStrategyAndProjectsOnMeasuresAndOutcomes.mdx
13.2.3.4.2	16415	Report the status of project	Report	Status Of Project	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/16415-ReportTheStatusOfProject.mdx
13.2.3.4.3	16416	Manage project scope	Manage	Project Scope	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/16416-ManageProjectScope.mdx
13.2.3.4.4	11132	Promote and sustain activity and involvement	Promote	And Sustain Activity And Involvement	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/11132-PromoteAndSustainActivityAndInvolvement.mdx
13.2.3.4.5	11133	Realign and refresh project management strategy and approaches	Realign	And Refresh Project Management Strategy And Approaches	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/13.2.3.4-ExecuteProjects/11133-RealignAndRefreshProjectManagementStrategyAndApproaches.mdx
13.2.3.5	16417	Review and report project performance	Review	And Report Project Performance	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/16417-ReviewAndReportProjectPerformance.mdx
13.2.3.6	16418	Close projects	Close	Projects	13-DevelopAndManageBusinessCapabilities/13.2-ManagePortfolioProgramAndProject/13.2.3-ManageProjects/16418-CloseProjects.mdx
13.3	17471	Manage enterprise quality	Manage	Enterprise Quality	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/index.mdx
13.3.1	17472	Establish quality requirements	Establish	Quality Requirements	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/index.mdx
13.3.1.1	17473	Define critical-to-quality characteristics	Define	Critical-to-quality Characteristics	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/17473-DefineCriticalToQualityCharacteristics.mdx
13.3.1.2	17474	Define preventive quality activities	Define	Preventive Quality Activities	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/17474-DefinePreventiveQualityActivities.mdx
13.3.1.3	17475	Develop quality controls	Develop	Quality Controls	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/13.3.1.3-DevelopQualityControls/index.mdx
13.3.1.3.1	17476	Define process steps for controls (or integration points)	Define	Process Steps For Controls (or Integration Points)	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/13.3.1.3-DevelopQualityControls/17476-DefineProcessStepsForControlsOrIntegrationPoints.mdx
13.3.1.3.2	17477	Define sampling plan	Define	Sampling Plan	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/13.3.1.3-DevelopQualityControls/17477-DefineSamplingPlan.mdx
13.3.1.3.3	17478	Identify measurement methods	Identify	Measurement Methods	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/13.3.1.3-DevelopQualityControls/17478-IdentifyMeasurementMethods.mdx
13.3.1.3.4	17479	Define required competencies	Define	Required Competencies	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/13.3.1.3-DevelopQualityControls/17479-DefineRequiredCompetencies.mdx
13.3.1.4	17480	Prove capability to assess compliance with requirements	Prove	Capability To Assess Compliance With Requirements	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/17480-ProveCapabilityToAssessComplianceWithRequirements.mdx
13.3.1.5	17481	Finalize quality plan	Finalize	Quality Plan	13-DevelopAndManageBusinessCapabilities/13.3-ManageEnterpriseQuality/13.3.1-EstablishQualityRequirements/17481-FinalizeQualityPlan.mdx
