hierarchyId	pCFID	name	verb	object	filePath
8.4.1.2	20768	Establish data, information, and analytic governance	Establish	Data, Information, And Analytic Governance	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.1-DefineBusinessInformationAndAnalyticsStrategy/20768-EstablishDataInformationAndAnalyticGovernance.mdx
8.4.1.3	20769	Access IT data/analytic capabilities	Access	IT Data/analytic Capabilities	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.1-DefineBusinessInformationAndAnalyticsStrategy/20769-AccessItDataAnalyticCapabilities.mdx
8.4.2	20770	Define and maintain business information architecture	Define	And Maintain Business Information Architecture	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/index.mdx
8.4.2.1	20771	Determine enterprise business information requirements	Determine	Enterprise Business Information Requirements	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/20771-DetermineEnterpriseBusinessInformationRequirements.mdx
8.4.2.2	20772	Define enterprise data models	Define	Enterprise Data Models	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/20772-DefineEnterpriseDataModels.mdx
8.4.2.3	20773	Identify and understand external data sources	Identify	And Understand External Data Sources	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/20773-IdentifyAndUnderstandExternalDataSources.mdx
8.4.2.4	20774	Establish  data ownership and stewardship responsibilities	Establish	Data Ownership And Stewardship Responsibilities	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/20774-EstablishDataOwnershipAndStewardshipResponsibilities.mdx
8.4.2.5	20775	Maintain and evolve enterprise data and information architecture	Maintain	And Evolve Enterprise Data And Information Architecture	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.2-DefineAndMaintainBusinessInformationArchitecture/20775-MaintainAndEvolveEnterpriseDataAndInformationArchitecture.mdx
8.4.3	20776	Define and execute business information lifecycle planning and control	Define	And Execute Business Information Lifecycle Planning And Control	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.3-DefineAndExecuteBusinessInformationLifecyclePlanningAndControl/index.mdx
8.4.3.1	20777	Define and maintain enterprise information policies, standards, and procedures	Define	And Maintain Enterprise Information Policies, Standards, And Procedures	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.3-DefineAndExecuteBusinessInformationLifecyclePlanningAndControl/20777-DefineAndMaintainEnterpriseInformationPoliciesStandardsAndProcedures.mdx
8.4.3.2	20778	Implement and execute data administration responsibilities	Implement	And Execute Data Administration Responsibilities	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.3-DefineAndExecuteBusinessInformationLifecyclePlanningAndControl/20778-ImplementAndExecuteDataAdministrationResponsibilities.mdx
8.4.4	20779	Manage business information content	Manage	Business Information Content	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.4-ManageBusinessInformationContent/index.mdx
8.4.4.1	20780	Monitor and control business information	Monitor	And Control Business Information	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.4-ManageBusinessInformationContent/20780-MonitorAndControlBusinessInformation.mdx
8.4.4.2	20781	Maintain business information feeds and repositories	Maintain	Business Information Feeds And Repositories	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.4-ManageBusinessInformationContent/20781-MaintainBusinessInformationFeedsAndRepositories.mdx
8.4.4.3	20782	Perform internal usage audits	Perform	Internal Usage Audits	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.4-ManageBusinessInformationContent/20782-PerformInternalUsageAudits.mdx
8.4.4.4	20783	Implement and administer business information access	Implement	And Administer Business Information Access	08-ManageInformationTechnologyIt/8.4-ManageInformation/8.4.4-ManageBusinessInformationContent/20783-ImplementAndAdministerBusinessInformationAccess.mdx
8.5	20784	Develop and manage services/solutions	Develop	And Manage Services/solutions	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/index.mdx
