hierarchyId	pCFID	name	verb	object	filePath
9.6.1.6	10874	Process payables taxes	Process	Payables Taxes	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10874-ProcessPayablesTaxes.mdx
9.6.1.7	10875	Research/Resolve payable exceptions	Research/Resolve	Payable Exceptions	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10875-ResearchResolvePayableExceptions.mdx
9.6.1.8	10876	Process payments	Process	Payments	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10876-ProcessPayments.mdx
9.6.1.9	10877	Respond to AP inquiries	Respond	To AP Inquiries	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10877-RespondToApInquiries.mdx
9.6.1.10	10878	Retain records	Retain	Records	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10878-RetainRecords.mdx
9.6.1.11	10879	Adjust accounting records	Adjust	Accounting Records	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10879-AdjustAccountingRecords.mdx
9.6.2	10757	Process expense reimbursements	Process	Expense Reimbursements	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/index.mdx
9.6.2.1	10880	Establish and communicate expense reimbursement policies and approval limits	Establish	And Communicate Expense Reimbursement Policies And Approval Limits	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/10880-EstablishAndCommunicateExpenseReimbursementPoliciesAndApprovalLimits.mdx
9.6.2.2	10881	Capture and report relevant tax data	Capture	And Report Relevant Tax Data	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/10881-CaptureAndReportRelevantTaxData.mdx
9.6.2.3	10882	Approve reimbursements and advances	Approve	Reimbursements And Advances	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/10882-ApproveReimbursementsAndAdvances.mdx
9.6.2.4	10883	Process reimbursements and advances	Process	Reimbursements And Advances	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/10883-ProcessReimbursementsAndAdvances.mdx
9.6.2.5	10884	Manage personnel accounts	Manage	Personnel Accounts	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.2-ProcessExpenseReimbursements/10884-ManagePersonnelAccounts.mdx
9.6.3	20929	Manage corporate credit cards	Manage	Corporate Credit Cards	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/index.mdx
9.6.3.1	20930	Establish corporate credit card policies and approval limits	Establish	Corporate Credit Card Policies And Approval Limits	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20930-EstablishCorporateCreditCardPoliciesAndApprovalLimits.mdx
9.6.3.2	20931	Process corporate credit card requests	Process	Corporate Credit Card Requests	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20931-ProcessCorporateCreditCardRequests.mdx
9.6.3.3	20932	Order corporate credit cards	Order	Corporate Credit Cards	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20932-OrderCorporateCreditCards.mdx
9.6.3.4	20933	Manage corporate credit card accounts	Manage	Corporate Credit Card Accounts	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20933-ManageCorporateCreditCardAccounts.mdx
9.6.3.5	20934	Approve/Change credit limits	Approve/Change	Credit Limits	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20934-ApproveChangeCreditLimits.mdx
9.6.3.6	20935	Cancel/Deactivate credit card	Cancel/Deactivate	Credit Card	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.3-ManageCorporateCreditCards/20935-CancelDeactivateCreditCard.mdx
9.7	10734	Manage treasury operations	Manage	Treasury Operations	09-ManageFinancialResources/9.7-ManageTreasuryOperations/index.mdx
